INFO:root:Time 2021-01-31 22:56:21.375902, Epoch [0/1000], Step [159/497], d_loss_real:-52.4277 + d_loss_fake:-22.8690 + gradient_penalty:20.1010 = d_loss: -55.1957, g_loss: 50.4180, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:56:28.827188, Epoch [0/1000], Step [179/497], d_loss_real:-51.3558 + d_loss_fake:-29.9311 + gradient_penalty:30.2932 = d_loss: -50.9938, g_loss: 56.1210, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:56:36.292157, Epoch [0/1000], Step [199/497], d_loss_real:-65.3606 + d_loss_fake:-41.4538 + gradient_penalty:28.5629 = d_loss: -78.2515, g_loss: 70.2235, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:56:43.771844, Epoch [0/1000], Step [219/497], d_loss_real:-65.2486 + d_loss_fake:-59.1650 + gradient_penalty:41.4232 = d_loss: -82.9904, g_loss: 83.6854, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:56:51.231818, Epoch [0/1000], Step [239/497], d_loss_real:-76.3372 + d_loss_fake:-73.8020 + gradient_penalty:48.4981 = d_loss: -101.6410, g_loss: 94.9099, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:56:58.562753, Epoch [0/1000], Step [259/497], d_loss_real:-86.4743 + d_loss_fake:-81.3568 + gradient_penalty:40.8313 = d_loss: -126.9999, g_loss: 102.5074, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:57:05.686514, Epoch [0/1000], Step [279/497], d_loss_real:-83.7987 + d_loss_fake:-85.7557 + gradient_penalty:41.2568 = d_loss: -128.2975, g_loss: 107.7972, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:57:12.824941, Epoch [0/1000], Step [299/497], d_loss_real:-98.7273 + d_loss_fake:-71.4198 + gradient_penalty:76.7319 = d_loss: -93.4152, g_loss: 108.7980, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:57:19.952272, Epoch [0/1000], Step [319/497], d_loss_real:-102.8361 + d_loss_fake:-98.6641 + gradient_penalty:66.0101 = d_loss: -135.4900, g_loss: 129.2852, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:57:27.073921, Epoch [0/1000], Step [339/497], d_loss_real:-128.6502 + d_loss_fake:-70.1593 + gradient_penalty:135.7785 = d_loss: -63.0310, g_loss: 115.6131, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:57:34.216084, Epoch [0/1000], Step [359/497], d_loss_real:-70.1743 + d_loss_fake:-108.5897 + gradient_penalty:32.5131 = d_loss: -146.2509, g_loss: 134.0830, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:57:41.354070, Epoch [0/1000], Step [379/497], d_loss_real:-108.4546 + d_loss_fake:-72.7926 + gradient_penalty:82.3070 = d_loss: -98.9401, g_loss: 123.5769, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 23:52:34.614030, Epoch [0/1000], Step [19/497], d_loss_real:-15.4406 + d_loss_fake:-5.8897 + gradient_penalty:0.1380 = d_loss: -21.1923, g_loss: 10.7041, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 23:52:41.574839, Epoch [0/1000], Step [39/497], d_loss_real:-27.3027 + d_loss_fake:-20.1908 + gradient_penalty:0.5929 = d_loss: -46.9006, g_loss: 23.1948, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 23:52:48.497688, Epoch [0/1000], Step [59/497], d_loss_real:-38.8031 + d_loss_fake:-31.8910 + gradient_penalty:0.3791 = d_loss: -70.3150, g_loss: 34.5376, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 23:52:55.439652, Epoch [0/1000], Step [79/497], d_loss_real:-48.7888 + d_loss_fake:-37.9841 + gradient_penalty:1.5410 = d_loss: -85.2319, g_loss: 43.6115, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 23:53:02.405102, Epoch [0/1000], Step [99/497], d_loss_real:-41.1772 + d_loss_fake:-40.9239 + gradient_penalty:14.5892 = d_loss: -67.5118, g_loss: 49.2390, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 23:53:09.372254, Epoch [0/1000], Step [119/497], d_loss_real:-55.2344 + d_loss_fake:-15.0573 + gradient_penalty:9.4243 = d_loss: -60.8674, g_loss: 42.7353, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 23:53:16.366897, Epoch [0/1000], Step [139/497], d_loss_real:-57.2974 + d_loss_fake:-45.2897 + gradient_penalty:14.4134 = d_loss: -88.1737, g_loss: 59.1015, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 23:53:23.577364, Epoch [0/1000], Step [159/497], d_loss_real:-61.3917 + d_loss_fake:-2.1296 + gradient_penalty:15.4942 = d_loss: -48.0271, g_loss: 49.5649, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 23:53:30.737400, Epoch [0/1000], Step [179/497], d_loss_real:-47.4326 + d_loss_fake:-34.8368 + gradient_penalty:31.4360 = d_loss: -50.8334, g_loss: 66.2688, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 23:53:38.225453, Epoch [0/1000], Step [199/497], d_loss_real:-69.5962 + d_loss_fake:-43.0615 + gradient_penalty:28.6135 = d_loss: -84.0442, g_loss: 68.1517, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 23:53:45.631273, Epoch [0/1000], Step [219/497], d_loss_real:-77.4931 + d_loss_fake:-42.0328 + gradient_penalty:37.1975 = d_loss: -82.3285, g_loss: 81.3002, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 23:54:45.674869, Epoch [0/1000], Step [19/497], d_loss_real:-14.8923 + d_loss_fake:-6.5279 + gradient_penalty:0.1826 = d_loss: -21.2376, g_loss: 11.0043, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 23:54:52.507597, Epoch [0/1000], Step [39/497], d_loss_real:-26.2077 + d_loss_fake:-19.4766 + gradient_penalty:0.5216 = d_loss: -45.1627, g_loss: 22.5440, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 23:54:59.373319, Epoch [0/1000], Step [59/497], d_loss_real:-36.8260 + d_loss_fake:-28.5815 + gradient_penalty:0.8204 = d_loss: -64.5872, g_loss: 32.8190, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:05:04.761456, Epoch [0/1000], Step [19/497], d_loss_real:-14.3286 + d_loss_fake:-5.8264 + gradient_penalty:0.1614 = d_loss: -19.9936, g_loss: 10.3880, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:05:11.714652, Epoch [0/1000], Step [39/497], d_loss_real:-25.8466 + d_loss_fake:-18.1703 + gradient_penalty:0.5492 = d_loss: -43.4677, g_loss: 21.8569, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:06:03.883398, Epoch [0/1000], Step [19/497], d_loss_real:-15.2666 + d_loss_fake:-6.2635 + gradient_penalty:0.1241 = d_loss: -21.4060, g_loss: 11.1250, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:06:10.752579, Epoch [0/1000], Step [39/497], d_loss_real:-27.3562 + d_loss_fake:-20.3874 + gradient_penalty:0.5934 = d_loss: -47.1502, g_loss: 23.3188, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:06:17.663506, Epoch [0/1000], Step [59/497], d_loss_real:-38.4556 + d_loss_fake:-32.7287 + gradient_penalty:0.6254 = d_loss: -70.5589, g_loss: 34.5626, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:06:24.531481, Epoch [0/1000], Step [79/497], d_loss_real:-49.2209 + d_loss_fake:-42.4391 + gradient_penalty:1.0129 = d_loss: -90.6472, g_loss: 44.7240, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:06:31.486863, Epoch [0/1000], Step [99/497], d_loss_real:-52.7982 + d_loss_fake:-47.5853 + gradient_penalty:7.4467 = d_loss: -92.9368, g_loss: 52.2412, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:06:38.497554, Epoch [0/1000], Step [119/497], d_loss_real:-57.7234 + d_loss_fake:-39.6751 + gradient_penalty:18.0029 = d_loss: -79.3957, g_loss: 55.8080, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:06:45.207146, Epoch [0/1000], Step [139/497], d_loss_real:-65.1217 + d_loss_fake:-20.4869 + gradient_penalty:10.5568 = d_loss: -75.0519, g_loss: 54.9272, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:06:52.177556, Epoch [0/1000], Step [159/497], d_loss_real:-59.7117 + d_loss_fake:-44.3405 + gradient_penalty:23.9696 = d_loss: -80.0825, g_loss: 67.0160, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:06:59.124864, Epoch [0/1000], Step [179/497], d_loss_real:-54.5692 + d_loss_fake:-45.3960 + gradient_penalty:23.8201 = d_loss: -76.1451, g_loss: 68.1974, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:07:06.152542, Epoch [0/1000], Step [199/497], d_loss_real:-63.2542 + d_loss_fake:-28.4114 + gradient_penalty:32.4023 = d_loss: -59.2633, g_loss: 66.8660, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:07:13.152857, Epoch [0/1000], Step [219/497], d_loss_real:-72.5251 + d_loss_fake:-45.2269 + gradient_penalty:42.3104 = d_loss: -75.4416, g_loss: 78.2226, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:07:20.152516, Epoch [0/1000], Step [239/497], d_loss_real:-86.6011 + d_loss_fake:-58.4834 + gradient_penalty:33.6233 = d_loss: -111.4612, g_loss: 86.5261, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:12:25.283922, Epoch [0/1000], Step [19/496], d_loss_real:-15.4164 + d_loss_fake:-6.8069 + gradient_penalty:0.1490 = d_loss: -22.0743, g_loss: 11.7603, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:12:32.183018, Epoch [0/1000], Step [39/496], d_loss_real:-27.5071 + d_loss_fake:-21.3834 + gradient_penalty:0.6394 = d_loss: -48.2511, g_loss: 24.1862, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:12:39.084608, Epoch [0/1000], Step [59/496], d_loss_real:-39.0945 + d_loss_fake:-32.8978 + gradient_penalty:0.7876 = d_loss: -71.2046, g_loss: 35.1941, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:12:45.984329, Epoch [0/1000], Step [79/496], d_loss_real:-45.9655 + d_loss_fake:-41.0082 + gradient_penalty:5.2567 = d_loss: -81.7170, g_loss: 44.1703, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:12:52.882846, Epoch [0/1000], Step [99/496], d_loss_real:-47.8222 + d_loss_fake:-49.1025 + gradient_penalty:14.0154 = d_loss: -82.9093, g_loss: 52.3294, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:12:59.819485, Epoch [0/1000], Step [119/496], d_loss_real:-53.3009 + d_loss_fake:-53.0612 + gradient_penalty:19.6088 = d_loss: -86.7533, g_loss: 59.4669, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:13:06.750423, Epoch [0/1000], Step [139/496], d_loss_real:-57.2130 + d_loss_fake:-52.2338 + gradient_penalty:14.7208 = d_loss: -94.7260, g_loss: 64.5781, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:13:13.672963, Epoch [0/1000], Step [159/496], d_loss_real:-61.6939 + d_loss_fake:-20.8617 + gradient_penalty:21.3498 = d_loss: -61.2058, g_loss: 51.8876, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:13:20.599918, Epoch [0/1000], Step [179/496], d_loss_real:-63.7891 + d_loss_fake:-42.8539 + gradient_penalty:28.5340 = d_loss: -78.1089, g_loss: 64.2010, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:13:27.513455, Epoch [0/1000], Step [199/496], d_loss_real:-83.9998 + d_loss_fake:-33.4529 + gradient_penalty:31.2528 = d_loss: -86.1999, g_loss: 60.0423, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:13:34.451464, Epoch [0/1000], Step [219/496], d_loss_real:-87.6174 + d_loss_fake:-50.1742 + gradient_penalty:40.9660 = d_loss: -96.8256, g_loss: 76.2111, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:13:41.387407, Epoch [0/1000], Step [239/496], d_loss_real:-98.0148 + d_loss_fake:-72.2976 + gradient_penalty:28.5649 = d_loss: -141.7475, g_loss: 83.6121, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:13:48.335907, Epoch [0/1000], Step [259/496], d_loss_real:-117.5146 + d_loss_fake:-66.3649 + gradient_penalty:52.9123 = d_loss: -130.9671, g_loss: 84.8603, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:13:55.294453, Epoch [0/1000], Step [279/496], d_loss_real:-120.4993 + d_loss_fake:-87.8464 + gradient_penalty:108.1612 = d_loss: -100.1846, g_loss: 106.6533, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:14:02.220829, Epoch [0/1000], Step [299/496], d_loss_real:-40.4817 + d_loss_fake:-122.6144 + gradient_penalty:17.8669 = d_loss: -145.2292, g_loss: 140.8100, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:14:09.291719, Epoch [0/1000], Step [319/496], d_loss_real:121.1483 + d_loss_fake:-127.1393 + gradient_penalty:3.7911 = d_loss: -2.1999, g_loss: 134.6493, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:14:16.457813, Epoch [0/1000], Step [339/496], d_loss_real:-80.2412 + d_loss_fake:-111.8561 + gradient_penalty:39.3619 = d_loss: -152.7354, g_loss: 129.6104, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:14:23.401858, Epoch [0/1000], Step [359/496], d_loss_real:-146.3120 + d_loss_fake:-157.2804 + gradient_penalty:13.8177 = d_loss: -289.7747, g_loss: 161.8818, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:15:14.638540, Epoch [0/1000], Step [379/496], d_loss_real:-39.4936 + d_loss_fake:-148.4977 + gradient_penalty:18.0760 = d_loss: -169.9154, g_loss: 164.2763, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:15:21.482952, Epoch [0/1000], Step [399/496], d_loss_real:-173.4967 + d_loss_fake:-176.1774 + gradient_penalty:10.9258 = d_loss: -338.7483, g_loss: 190.9560, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:21:52.062219, Epoch [0/1000], Step [19/496], d_loss_real:-15.6600 + d_loss_fake:-7.1833 + gradient_penalty:0.1779 = d_loss: -22.6655, g_loss: 11.3248, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:23:18.694583, Epoch [0/1000], Step [19/496], d_loss_real:-15.4481 + d_loss_fake:-7.4561 + gradient_penalty:0.1217 = d_loss: -22.7826, g_loss: 11.5128, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:23:25.560138, Epoch [0/1000], Step [39/496], d_loss_real:-27.1687 + d_loss_fake:-20.3830 + gradient_penalty:0.5863 = d_loss: -46.9654, g_loss: 23.4366, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:23:32.440806, Epoch [0/1000], Step [59/496], d_loss_real:-38.2099 + d_loss_fake:-31.6166 + gradient_penalty:0.4551 = d_loss: -69.3714, g_loss: 34.4098, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:23:39.340651, Epoch [0/1000], Step [79/496], d_loss_real:-48.0879 + d_loss_fake:-38.2236 + gradient_penalty:3.0385 = d_loss: -83.2730, g_loss: 43.0697, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:23:46.240819, Epoch [0/1000], Step [99/496], d_loss_real:-44.3602 + d_loss_fake:-39.3404 + gradient_penalty:15.3141 = d_loss: -68.3865, g_loss: 48.0237, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:23:53.160802, Epoch [0/1000], Step [119/496], d_loss_real:-53.4900 + d_loss_fake:-26.7429 + gradient_penalty:10.5177 = d_loss: -69.7152, g_loss: 50.0856, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:24:00.076404, Epoch [0/1000], Step [139/496], d_loss_real:-50.2623 + d_loss_fake:-19.4277 + gradient_penalty:19.0756 = d_loss: -50.6143, g_loss: 50.5865, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:24:07.064004, Epoch [0/1000], Step [159/496], d_loss_real:-47.9769 + d_loss_fake:-44.5303 + gradient_penalty:24.2567 = d_loss: -68.2504, g_loss: 60.5149, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:24:14.036278, Epoch [0/1000], Step [179/496], d_loss_real:-68.6234 + d_loss_fake:-21.8653 + gradient_penalty:26.5579 = d_loss: -63.9308, g_loss: 54.7766, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:24:21.046414, Epoch [0/1000], Step [199/496], d_loss_real:-76.6405 + d_loss_fake:-58.2686 + gradient_penalty:37.5290 = d_loss: -97.3801, g_loss: 75.4410, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:24:28.064308, Epoch [0/1000], Step [219/496], d_loss_real:-70.1832 + d_loss_fake:-65.5994 + gradient_penalty:37.7534 = d_loss: -98.0292, g_loss: 84.8476, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:24:35.056620, Epoch [0/1000], Step [239/496], d_loss_real:-88.0952 + d_loss_fake:-81.1963 + gradient_penalty:30.2566 = d_loss: -139.0349, g_loss: 93.0134, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:24:42.061284, Epoch [0/1000], Step [259/496], d_loss_real:-102.7179 + d_loss_fake:-70.1763 + gradient_penalty:51.0558 = d_loss: -121.8384, g_loss: 93.1227, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-02-01 00:24:49.104686, Epoch [0/1000], Step [279/496], d_loss_real:-81.7575 + d_loss_fake:-82.9597 + gradient_penalty:49.3538 = d_loss: -115.3634, g_loss: 110.7305, d_lr=0.000200,g_lr=0.000200
